,precision,recall,f1-score,support
angry,0.4889673433362754,0.5782881002087683,0.5298900047824008,958.0
disgust,0.625,0.3153153153153153,0.41916167664670656,111.0
fear,0.5326797385620915,0.318359375,0.39853300733496333,1024.0
happy,0.7767509727626459,0.9002254791431793,0.8339425587467363,1774.0
neutral,0.5725462304409673,0.6528791565287916,0.610079575596817,1233.0
sad,0.5307621671258035,0.46351242983159585,0.4948630136986301,1247.0
surprise,0.7518159806295399,0.7472924187725631,0.7495473747736874,831.0
accuracy,0.6291446085260518,0.6291446085260518,0.6291446085260518,0.6291446085260518
macro avg,0.6112174904081892,0.5679817535428876,0.5765738873685632,7178.0
weighted avg,0.6204785451835336,0.6291446085260518,0.617702651525082,7178.0
